timestamp,channel_1,channel_2,channel_3,channel_4
1737017483313423.0,0.0,0.0,0.0,0.0
1737017483399619.0,0.0,0.0,0.0,0.0
1737017483549316.0,0.0,0.0,0.0,0.0
1737017483635437.0,0.0,0.0,0.0,0.0
1737017483742613.0,0.0,0.0,0.0,0.0
1737017483829338.0,0.0,0.0,0.0,0.0
1737017483915359.0,0.0,0.0,0.0,0.0
1737017484023215.0,0.0,0.0,0.0,0.0
1737017484152852.0,0.0,0.0,1.0,0.0
1737017484261224.0,0.0,1.0,1.0,0.0
1737017484376270.0,1.0,1.0,1.0,1.0
1737017484447890.0,1.0,1.0,1.0,1.0
1737017484533533.0,1.0,1.0,1.0,1.0
1737017484618915.0,0.0,1.0,1.0,1.0
1737017484766912.0,0.0,0.0,0.0,1.0
1737017484856046.0,0.0,0.0,0.0,1.0
1737017484964220.0,0.0,0.0,0.0,0.0
1737017485049034.0,0.0,0.0,0.0,0.0
1737017485135186.0,0.0,0.0,0.0,0.0
1737017485241563.0,0.0,0.0,0.0,0.0
1737017485370299.0,0.0,0.0,0.0,0.0
1737017485455246.0,0.0,0.0,0.0,0.0
1737017485562207.0,0.0,0.0,0.0,0.0
1737017485648442.0,0.0,0.0,0.0,0.0
1737017485755437.0,0.0,0.0,0.0,0.0
1737017485841177.0,0.0,1.0,0.0,0.0
1737017485990884.0,0.0,1.0,1.0,0.0
1737017486076951.0,1.0,1.0,1.0,1.0
1737017486164177.0,1.0,1.0,1.0,1.0
1737017486271180.0,1.0,1.0,1.0,1.0
1737017486357057.0,1.0,1.0,1.0,1.0
1737017486442339.0,1.0,1.0,1.0,1.0
1737017486592008.0,1.0,1.0,1.0,1.0
1737017486698899.0,1.0,1.0,1.0,1.0
1737017486786965.0,1.0,1.0,1.0,1.0
1737017486875215.0,1.0,1.0,1.0,1.0
1737017486962169.0,1.0,1.0,1.0,1.0
1737017487070270.0,1.0,1.0,0.0,1.0
1737017487197999.0,1.0,1.0,0.0,1.0
1737017487285165.0,1.0,1.0,0.0,0.0
1737017487393154.0,0.0,0.0,0.0,0.0
1737017487480245.0,0.0,0.0,0.0,0.0
1737017487586181.0,0.0,0.0,0.0,0.0
1737017487673109.0,0.0,0.0,0.0,0.0
1737017487822924.0,0.0,0.0,0.0,0.0
1737017487909575.0,0.0,0.0,0.0,0.0
1737017487997378.0,0.0,0.0,0.0,0.0
1737017488082196.0,0.0,0.0,0.0,0.0
1737017488189207.0,0.0,0.0,0.0,0.0
1737017488276503.0,0.0,0.0,0.0,0.0
1737017488405047.0,0.0,0.0,0.0,0.0
1737017488511777.0,0.0,0.0,0.0,0.0
1737017488617847.0,0.0,1.0,1.0,0.0
1737017488705921.0,0.0,1.0,0.0,0.0
1737017488792954.0,0.0,1.0,0.0,0.0
1737017488902017.0,0.0,1.0,0.0,0.0
1737017489053794.0,0.0,1.0,0.0,0.0
1737017489118838.0,0.0,0.0,0.0,0.0
1737017489204557.0,0.0,0.0,0.0,0.0
1737017489312363.0,0.0,0.0,1.0,0.0
1737017489399132.0,0.0,0.0,1.0,0.0
1737017489485152.0,0.0,1.0,1.0,0.0
1737017489635952.0,0.0,1.0,1.0,0.0
1737017489742286.0,0.0,1.0,1.0,0.0
1737017489827926.0,0.0,1.0,1.0,1.0
1737017489913181.0,1.0,1.0,1.0,1.0
1737017490041142.0,1.0,1.0,1.0,1.0
1737017490105260.0,1.0,1.0,1.0,1.0
1737017490252983.0,1.0,1.0,1.0,1.0
1737017490338937.0,1.0,1.0,1.0,1.0
1737017490449445.0,1.0,1.0,1.0,1.0
1737017490534980.0,0.0,1.0,1.0,0.0
1737017490621007.0,0.0,1.0,1.0,0.0
1737017490706663.0,0.0,1.0,1.0,0.0
1737017490855954.0,0.0,1.0,1.0,0.0
1737017490942257.0,0.0,1.0,1.0,0.0
1737017491049959.0,0.0,1.0,0.0,0.0
1737017491138211.0,0.0,1.0,0.0,0.0
1737017491244081.0,0.0,1.0,1.0,0.0
1737017491332159.0,0.0,1.0,1.0,0.0
1737017491459865.0,0.0,1.0,1.0,0.0
1737017491568058.0,0.0,1.0,1.0,0.0
1737017491653882.0,0.0,1.0,1.0,0.0
1737017491760965.0,0.0,1.0,1.0,0.0
1737017491846956.0,0.0,1.0,1.0,0.0
1737017491935281.0,1.0,1.0,1.0,1.0
1737017492083946.0,1.0,1.0,1.0,1.0
1737017492170956.0,1.0,1.0,1.0,1.0
1737017492259070.0,1.0,1.0,1.0,1.0
1737017492367234.0,1.0,1.0,1.0,1.0
1737017492454415.0,1.0,1.0,1.0,1.0
1737017492539162.0,1.0,1.0,1.0,1.0
1737017492690102.0,1.0,1.0,1.0,1.0
1737017492775082.0,1.0,1.0,1.0,1.0
1737017492861072.0,1.0,1.0,1.0,1.0
1737017492967344.0,1.0,1.0,1.0,1.0
1737017493074987.0,1.0,1.0,1.0,1.0
1737017493162397.0,0.0,1.0,1.0,0.0
1737017493288872.0,0.0,1.0,1.0,0.0
1737017493395070.0,0.0,1.0,1.0,0.0
1737017493481031.0,0.0,1.0,0.0,0.0
1737017493568442.0,0.0,1.0,0.0,0.0
1737017493675265.0,0.0,1.0,0.0,0.0
1737017493761335.0,0.0,1.0,0.0,0.0
1737017493910920.0,0.0,1.0,0.0,0.0
1737017493994970.0,0.0,1.0,0.0,0.0
