timestamp,channel_1,channel_2,channel_3,channel_4
1737017483313442.0,1.0,1.0,1.0,1.0
1737017483399621.0,2.0,1.0,1.0,2.0
1737017483549324.0,2.0,1.0,1.0,2.0
1737017483635446.0,2.0,1.0,1.0,2.0
1737017483742619.0,2.0,1.0,1.0,2.0
1737017483829341.0,2.0,1.0,1.0,2.0
1737017483915364.0,2.0,1.0,1.0,2.0
1737017484023218.0,2.0,1.0,1.0,2.0
1737017484152942.0,2.0,1.0,1.0,2.0
1737017484261228.0,2.0,1.0,1.0,2.0
1737017484376277.0,2.0,1.0,1.0,2.0
1737017484447893.0,2.0,1.0,1.0,2.0
1737017484533541.0,2.0,1.0,1.0,2.0
1737017484618929.0,2.0,1.0,1.0,2.0
1737017484766915.0,1.0,1.0,1.0,1.0
1737017484856058.0,1.0,1.0,1.0,1.0
1737017484964223.0,1.0,1.0,1.0,1.0
1737017485049040.0,1.0,1.0,1.0,1.0
1737017485135194.0,1.0,1.0,1.0,1.0
1737017485241576.0,1.0,1.0,1.0,1.0
1737017485370307.0,1.0,1.0,1.0,1.0
1737017485455252.0,1.0,1.0,1.0,1.0
1737017485562210.0,1.0,1.0,1.0,1.0
1737017485648496.0,1.0,1.0,1.0,1.0
1737017485755448.0,1.0,1.0,1.0,1.0
1737017485841183.0,1.0,1.0,1.0,1.0
1737017485991091.0,1.0,1.0,1.0,1.0
1737017486076955.0,1.0,1.0,1.0,1.0
1737017486164181.0,1.0,1.0,1.0,1.0
1737017486271184.0,1.0,1.0,1.0,1.0
1737017486357063.0,1.0,1.0,1.0,1.0
1737017486442346.0,1.0,1.0,1.0,1.0
1737017486592044.0,1.0,1.0,1.0,1.0
1737017486698900.0,1.0,1.0,1.0,1.0
1737017486786966.0,1.0,1.0,1.0,1.0
1737017486875217.0,1.0,1.0,1.0,1.0
1737017486962172.0,1.0,1.0,1.0,1.0
1737017487070279.0,1.0,1.0,1.0,1.0
1737017487198006.0,1.0,1.0,1.0,1.0
1737017487285166.0,1.0,1.0,1.0,1.0
1737017487393156.0,1.0,1.0,1.0,1.0
1737017487480246.0,1.0,1.0,1.0,1.0
1737017487586183.0,1.0,1.0,1.0,1.0
1737017487673111.0,1.0,1.0,1.0,1.0
1737017487822925.0,1.0,1.0,1.0,1.0
1737017487909580.0,1.0,1.0,1.0,1.0
1737017487997382.0,1.0,1.0,1.0,1.0
1737017488082197.0,1.0,1.0,1.0,1.0
1737017488189209.0,1.0,1.0,1.0,1.0
1737017488276509.0,1.0,1.0,1.0,1.0
1737017488405051.0,1.0,1.0,1.0,1.0
1737017488511778.0,1.0,1.0,1.0,1.0
1737017488617849.0,1.0,1.0,1.0,1.0
1737017488705924.0,1.0,1.0,1.0,1.0
1737017488792957.0,1.0,1.0,1.0,1.0
1737017488902062.0,1.0,1.0,1.0,1.0
1737017489053796.0,1.0,1.0,1.0,1.0
1737017489118840.0,1.0,1.0,1.0,1.0
1737017489204559.0,1.0,1.0,1.0,1.0
1737017489312366.0,1.0,1.0,1.0,1.0
1737017489399135.0,1.0,1.0,1.0,1.0
1737017489485616.0,1.0,1.0,1.0,1.0
1737017489635954.0,1.0,1.0,1.0,1.0
1737017489742291.0,1.0,1.0,1.0,1.0
1737017489827928.0,1.0,1.0,1.0,1.0
1737017489913184.0,1.0,1.0,1.0,1.0
1737017490041149.0,2.0,1.0,1.0,2.0
1737017490105264.0,2.0,1.0,1.0,2.0
1737017490252984.0,1.0,1.0,1.0,1.0
1737017490338938.0,1.0,1.0,1.0,1.0
1737017490449447.0,1.0,1.0,1.0,1.0
1737017490534982.0,1.0,1.0,1.0,1.0
1737017490621014.0,1.0,1.0,1.0,1.0
1737017490706680.0,1.0,1.0,1.0,1.0
1737017490855955.0,1.0,1.0,1.0,1.0
1737017490942260.0,1.0,1.0,1.0,1.0
1737017491049960.0,1.0,1.0,1.0,1.0
1737017491138215.0,1.0,1.0,1.0,1.0
1737017491244083.0,1.0,1.0,1.0,1.0
1737017491332162.0,1.0,1.0,1.0,1.0
1737017491459867.0,1.0,1.0,1.0,1.0
1737017491568060.0,1.0,1.0,1.0,1.0
1737017491653884.0,1.0,1.0,1.0,1.0
1737017491760967.0,1.0,1.0,1.0,1.0
1737017491846958.0,1.0,1.0,1.0,1.0
1737017491935283.0,1.0,1.0,1.0,1.0
1737017492083948.0,1.0,1.0,1.0,1.0
1737017492170957.0,1.0,1.0,1.0,1.0
1737017492259072.0,1.0,1.0,1.0,1.0
1737017492367237.0,1.0,1.0,1.0,1.0
1737017492454422.0,1.0,1.0,1.0,1.0
1737017492539258.0,1.0,1.0,1.0,1.0
1737017492690107.0,1.0,1.0,1.0,1.0
1737017492775085.0,1.0,1.0,1.0,1.0
1737017492861073.0,1.0,1.0,1.0,1.0
1737017492967348.0,1.0,1.0,1.0,1.0
1737017493074989.0,1.0,1.0,1.0,1.0
1737017493162400.0,1.0,1.0,1.0,1.0
1737017493288874.0,1.0,1.0,1.0,1.0
1737017493395071.0,1.0,1.0,1.0,1.0
1737017493481033.0,1.0,1.0,1.0,1.0
1737017493568447.0,1.0,1.0,1.0,1.0
1737017493675266.0,1.0,1.0,1.0,1.0
1737017493761337.0,1.0,1.0,1.0,1.0
1737017493910922.0,1.0,1.0,1.0,1.0
1737017493994972.0,1.0,1.0,1.0,1.0
