Channel_1,Channel_2,Channel_3,Channel_4,Timestamp
779.6703491210938,786.5201416015625,798.6080322265625,777.6557006835938,1736989779247945.0
780.4761962890625,779.6703491210938,793.7728881835938,783.2966918945312,1736989779247958.0
793.7728881835938,792.1611938476562,792.1611938476562,790.5494384765625,1736989779247995.0
815.5311279296875,805.054931640625,784.908447265625,807.87548828125,1736989779247968.0
812.7106323242188,807.4725341796875,777.6557006835938,805.054931640625,1736989779247973.0
800.2197875976562,793.7728881835938,811.90478515625,799.4139404296875,1736989779248001.0
806.6666870117188,783.2966918945312,808.6813354492188,799.010986328125,1736989779248012.0
787.7289428710938,784.1025390625,796.996337890625,793.3699340820312,1736989779248025.0
774.4322509765625,778.8644409179688,790.952392578125,789.3406372070312,1736989779248034.0
777.6557006835938,769.5970458984375,782.893798828125,791.3552856445312,1736989779248045.0
782.087890625,789.3406372070312,788.937744140625,801.8314819335938,1736989779248057.0
785.3113403320312,795.3846435546875,803.040283203125,799.4139404296875,1736989779248068.0
789.3406372070312,786.5201416015625,806.2637329101562,798.6080322265625,1736989779312901.0
799.4139404296875,802.6373901367188,813.5164794921875,813.91943359375,1736989779312937.0
796.5933837890625,803.040283203125,806.6666870117188,807.87548828125,1736989779312945.0
795.3846435546875,799.8168334960938,801.4285888671875,800.6226806640625,1736989779312952.0
792.1611938476562,798.2051391601562,792.5640869140625,796.1904907226562,1736989779312958.0
789.7435913085938,797.3992919921875,787.3259887695312,792.1611938476562,1736989779312963.0
796.996337890625,798.2051391601562,800.2197875976562,797.3992919921875,1736989779312968.0
794.1758422851562,778.8644409179688,799.8168334960938,799.010986328125,1736989779312974.0
797.8021850585938,790.5494384765625,803.040283203125,801.8314819335938,1736989779313703.0
813.5164794921875,806.6666870117188,782.893798828125,813.91943359375,1736989779313713.0
797.3992919921875,776.0439453125,797.8021850585938,799.8168334960938,1736989779313689.0
800.2197875976562,799.8168334960938,798.2051391601562,806.2637329101562,1736989779313708.0
797.3992919921875,799.010986328125,772.0146484375,803.040283203125,1736989779354946.0
793.7728881835938,794.5787353515625,807.4725341796875,800.2197875976562,1736989779354981.0
811.098876953125,796.996337890625,835.2747192382812,803.040283203125,1736989779354989.0
