Channel_1,Channel_2,Channel_3,Channel_4,Timestamp
797.3992919921875,804.2490844726562,791.7582397460938,794.5787353515625,1736990263133729.0
772.8204956054688,798.2051391601562,790.1465454101562,790.1465454101562,1736990263133741.0
765.970703125,794.981689453125,788.5347900390625,786.5201416015625,1736990263133748.0
792.967041015625,790.1465454101562,780.879150390625,803.4432373046875,1736990263133759.0
818.3516235351562,800.6226806640625,807.069580078125,808.6813354492188,1736990263133770.0
771.2088012695312,788.5347900390625,774.4322509765625,793.7728881835938,1736990263133754.0
812.3076782226562,798.6080322265625,810.2930297851562,809.4871826171875,1736990263133765.0
809.084228515625,797.8021850585938,786.5201416015625,797.8021850585938,1736990263133776.0
803.8461303710938,799.010986328125,776.4468994140625,788.937744140625,1736990263134486.0
798.6080322265625,797.3992919921875,786.923095703125,786.923095703125,1736990263134501.0
774.4322509765625,778.4615478515625,784.5054931640625,780.4761962890625,1736990263134507.0
779.2673950195312,779.2673950195312,778.05859375,776.4468994140625,1736990263134519.0
779.6703491210938,800.6226806640625,786.1171875,780.0732421875,1736990263176650.0
798.6080322265625,797.8021850585938,792.1611938476562,809.084228515625,1736990263176695.0
780.4761962890625,808.2783813476562,793.7728881835938,797.8021850585938,1736990263176687.0
787.3259887695312,793.3699340820312,796.1904907226562,792.1611938476562,1736990263176701.0
776.8497924804688,802.2344360351562,800.2197875976562,781.2820434570312,1736990263176706.0
785.7142944335938,796.996337890625,803.4432373046875,786.923095703125,1736990263176712.0
794.1758422851562,783.6996459960938,799.010986328125,791.3552856445312,1736990263176717.0
803.040283203125,794.981689453125,798.2051391601562,795.7875366210938,1736990263176724.0
789.7435913085938,801.8314819335938,790.1465454101562,791.7582397460938,1736990263176773.0
779.6703491210938,792.1611938476562,766.7765502929688,785.7142944335938,1736990263176791.0
794.981689453125,789.3406372070312,774.8351440429688,789.3406372070312,1736990263176803.0
796.996337890625,794.981689453125,788.5347900390625,785.7142944335938,1736990263176815.0
