TP9,AF7,AF8,TP10,Timestamp
822.7838745117188,780.879150390625,807.4725341796875,813.5164794921875,1736992940997068.0
821.1721801757812,790.5494384765625,795.3846435546875,815.93408203125,1736992940997274.0
815.1282348632812,800.2197875976562,790.1465454101562,813.113525390625,1736992940997303.0
809.084228515625,797.8021850585938,796.5933837890625,810.6959838867188,1736992940997315.0
795.7875366210938,799.8168334960938,792.1611938476562,803.040283203125,1736992940997325.0
801.8314819335938,796.1904907226562,798.6080322265625,806.2637329101562,1736992940997348.0
803.040283203125,807.87548828125,799.8168334960938,809.4871826171875,1736992940997357.0
815.93408203125,817.94873046875,797.8021850585938,823.1868286132812,1736992940997474.0
816.7399291992188,791.7582397460938,799.4139404296875,819.96337890625,1736992940997490.0
794.5787353515625,788.5347900390625,803.8461303710938,808.2783813476562,1736992940997514.0
787.3259887695312,791.7582397460938,790.1465454101562,804.6520385742188,1736992940997525.0
788.937744140625,788.1318969726562,786.1171875,796.5933837890625,1736992940997534.0
790.952392578125,790.952392578125,789.7435913085938,790.5494384765625,1736992941060437.0
807.069580078125,795.7875366210938,801.8314819335938,807.4725341796875,1736992941060742.0
829.6337280273438,817.1428833007812,817.5457763671875,826.00732421875,1736992941060785.0
821.1721801757812,816.7399291992188,805.8607788085938,815.5311279296875,1736992941060818.0
808.6813354492188,793.3699340820312,807.4725341796875,811.098876953125,1736992941060867.0
801.4285888671875,793.3699340820312,821.5750732421875,815.5311279296875,1736992941060921.0
794.5787353515625,803.040283203125,804.6520385742188,812.7106323242188,1736992941062622.0
795.3846435546875,786.5201416015625,797.3992919921875,810.6959838867188,1736992941062730.0
803.4432373046875,782.4908447265625,801.8314819335938,809.89013671875,1736992941062744.0
811.098876953125,790.952392578125,797.8021850585938,821.1721801757812,1736992941062855.0
790.5494384765625,786.923095703125,809.084228515625,821.1721801757812,1736992941062867.0
776.0439453125,786.923095703125,806.2637329101562,794.5787353515625,1736992941062878.0
784.1025390625,784.5054931640625,796.1904907226562,788.1318969726562,1736992941114060.0
784.5054931640625,785.3113403320312,792.5640869140625,793.7728881835938,1736992941114104.0
789.7435913085938,793.3699340820312,806.2637329101562,801.025634765625,1736992941114113.0
794.981689453125,794.5787353515625,809.89013671875,804.2490844726562,1736992941114120.0
791.7582397460938,792.1611938476562,808.6813354492188,807.87548828125,1736992941114128.0
809.89013671875,799.010986328125,811.90478515625,825.2014770507812,1736992941114449.0
827.6190185546875,813.91943359375,802.6373901367188,828.02197265625,1736992941114550.0
812.3076782226562,802.2344360351562,802.2344360351562,814.3223266601562,1736992941114594.0
812.7106323242188,799.4139404296875,815.5311279296875,807.87548828125,1736992941114833.0
778.8644409179688,783.6996459960938,796.5933837890625,790.1465454101562,1736992941114849.0
749.8534545898438,774.8351440429688,780.4761962890625,781.2820434570312,1736992941114858.0
776.8497924804688,790.5494384765625,788.5347900390625,794.1758422851562,1736992941114867.0
808.2783813476562,792.5640869140625,780.0732421875,811.098876953125,1736992941136033.0
788.1318969726562,795.7875366210938,804.6520385742188,802.2344360351562,1736992941136105.0
