timestamp,channel_1
1737030156013733.0,0.0
1737030156100384.0,0.0
1737030156207495.0,0.0
1737030156294450.0,0.0
1737030156381489.0,0.0
1737030156532260.0,0.0
1737030156641129.0,0.0
1737030156727358.0,0.0
1737030156815485.0,0.0
1737030156903434.0,0.0
1737030157011659.0,1.0
1737030157141588.0,0.0
1737030157227709.0,0.0
1737030157338206.0,1.0
1737030157426239.0,0.0
1737030157513707.0,0.0
1737030157599582.0,0.0
1737030157751221.0,0.0
1737030157837523.0,0.0
1737030157943451.0,0.0
1737030158028416.0,0.0
1737030158134347.0,0.0
1737030158220733.0,0.0
1737030158347409.0,0.0
1737030158454154.0,0.0
1737030158539942.0,0.0
1737030158646435.0,0.0
1737030158733430.0,0.0
1737030158839540.0,0.0
1737030158967260.0,0.0
1737030159052372.0,0.0
1737030159159450.0,0.0
1737030159246418.0,0.0
1737030159354504.0,0.0
1737030159441431.0,0.0
1737030159590293.0,0.0
1737030159677337.0,0.0
1737030159762431.0,0.0
1737030159849734.0,0.0
1737030159955651.0,0.0
1737030160064458.0,0.0
1737030160191706.0,0.0
1737030160278340.0,0.0
1737030160386635.0,0.0
1737030160472392.0,0.0
1737030160583544.0,0.0
1737030160649420.0,0.0
1737030160800378.0,0.0
1737030160887405.0,0.0
1737030160972642.0,0.0
1737030161082717.0,0.0
1737030161190641.0,0.0
1737030161256637.0,0.0
1737030161406545.0,0.0
1737030161513021.0,0.0
1737030161599655.0,0.0
1737030161686592.0,0.0
1737030161792358.0,0.0
1737030161877467.0,0.0
1737030162005526.0,0.0
1737030162112402.0,0.0
1737030162198784.0,0.0
1737030162305290.0,0.0
1737030162390535.0,0.0
1737030162475935.0,0.0
1737030162627211.0,0.0
1737030162712463.0,0.0
1737030162798429.0,0.0
1737030162905379.0,0.0
1737030163011438.0,0.0
1737030163096387.0,0.0
1737030163224429.0,0.0
1737030163332510.0,0.0
1737030163418294.0,0.0
1737030163524491.0,0.0
1737030163612391.0,0.0
1737030163697479.0,0.0
1737030163847435.0,0.0
1737030163933463.0,0.0
1737030164019479.0,0.0
1737030164127707.0,0.0
1737030164213472.0,0.0
1737030164301763.0,0.0
1737030164451241.0,0.0
1737030164558631.0,0.0
1737030164644052.0,0.0
1737030164730809.0,0.0
1737030164837319.0,0.0
1737030164922543.0,0.0
