timestamp,channel_1,channel_2,channel_3,channel_4
1737030276665033.0,1.0,1.0,1.0,1.0
1737030276753082.0,1.0,1.0,1.0,1.0
1737030276866703.0,1.0,1.0,1.0,1.0
1737030276954719.0,1.0,1.0,1.0,1.0
1737030277049308.0,1.0,1.0,1.0,1.0
1737030277183392.0,1.0,1.0,1.0,1.0
1737030277273295.0,1.0,1.0,1.0,1.0
1737030277381576.0,1.0,1.0,1.0,1.0
1737030277471185.0,1.0,1.0,1.0,1.0
1737030277561873.0,1.0,1.0,1.0,1.0
1737030277649097.0,1.0,1.0,1.0,1.0
1737030277828451.0,1.0,1.0,1.0,1.0
1737030277896101.0,1.0,1.0,1.0,1.0
1737030277984564.0,1.0,1.0,1.0,1.0
1737030278077948.0,1.0,1.0,1.0,1.0
1737030278164236.0,1.0,1.0,1.0,1.0
1737030278271970.0,1.0,1.0,1.0,1.0
1737030278400960.0,1.0,1.0,1.0,1.0
1737030278506997.0,1.0,1.0,1.0,1.0
1737030278592740.0,1.0,1.0,1.0,1.0
1737030278880263.0,1.0,1.0,1.0,1.0
1737030279124221.0,0.0,0.0,1.0,0.0
1737030279139925.0,0.0,0.0,1.0,0.0
1737030279170503.0,0.0,0.0,0.0,0.0
1737030279174325.0,0.0,0.0,0.0,1.0
1737030279236424.0,0.0,0.0,0.0,0.0
1737030279294501.0,0.0,0.0,1.0,0.0
1737030279412603.0,0.0,1.0,1.0,0.0
1737030279478646.0,0.0,1.0,1.0,1.0
1737030279631433.0,0.0,1.0,1.0,1.0
1737030279717805.0,0.0,0.0,1.0,0.0
1737030279825494.0,0.0,0.0,1.0,0.0
1737030279896687.0,0.0,0.0,0.0,0.0
1737030280007038.0,0.0,0.0,0.0,0.0
1737030280095018.0,0.0,0.0,0.0,0.0
1737030280224908.0,0.0,0.0,0.0,0.0
1737030280334147.0,0.0,0.0,0.0,0.0
1737030280423201.0,0.0,0.0,0.0,0.0
1737030280509927.0,0.0,0.0,0.0,0.0
1737030280599437.0,0.0,0.0,0.0,0.0
1737030280707409.0,0.0,0.0,0.0,0.0
1737030280838607.0,0.0,0.0,0.0,0.0
1737030280926327.0,0.0,0.0,0.0,0.0
1737030281033444.0,0.0,0.0,0.0,0.0
1737030281119440.0,0.0,0.0,0.0,0.0
1737030281226587.0,0.0,0.0,0.0,0.0
1737030281312493.0,0.0,0.0,0.0,0.0
