Timestamp,Address,Data
2025-01-16 10:22:27.359,/8001/eeg,"(811.5018310546875, 793.3699340820312, 795.3846435546875, 799.010986328125, 0.0, 0.0)"
2025-01-16 10:22:27.359,/8001/eeg,"(780.879150390625, 786.923095703125, 788.1318969726562, 786.5201416015625, 0.0, 0.0)"
2025-01-16 10:22:27.359,/8001/eeg,"(792.967041015625, 801.4285888671875, 790.1465454101562, 796.5933837890625, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(827.6190185546875, 802.6373901367188, 812.3076782226562, 821.5750732421875, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(820.7692260742188, 778.05859375, 815.5311279296875, 817.1428833007812, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(818.3516235351562, 780.0732421875, 803.8461303710938, 810.6959838867188, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(811.5018310546875, 794.981689453125, 781.6849975585938, 811.90478515625, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(817.5457763671875, 806.6666870117188, 786.923095703125, 819.1575317382812, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(817.5457763671875, 803.040283203125, 796.996337890625, 806.2637329101562, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(796.1904907226562, 790.5494384765625, 774.8351440429688, 798.2051391601562, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(825.6043701171875, 807.87548828125, 777.2527465820312, 818.7545776367188, 0.0, 0.0)"
2025-01-16 10:22:27.360,/8001/eeg,"(807.87548828125, 816.3369750976562, 797.3992919921875, 807.4725341796875, 0.0, 0.0)"
2025-01-16 10:22:27.400,/8001/eeg,"(736.1538696289062, 787.7289428710938, 800.6226806640625, 777.6557006835938, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(788.5347900390625, 786.1171875, 806.2637329101562, 796.1904907226562, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(831.6483764648438, 799.4139404296875, 803.040283203125, 810.2930297851562, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(798.2051391601562, 783.2966918945312, 781.6849975585938, 793.3699340820312, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(796.996337890625, 788.937744140625, 780.4761962890625, 795.3846435546875, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(805.4578857421875, 800.2197875976562, 799.8168334960938, 815.5311279296875, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(819.1575317382812, 803.040283203125, 801.8314819335938, 823.1868286132812, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(820.7692260742188, 799.010986328125, 793.7728881835938, 815.1282348632812, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(814.3223266601562, 800.2197875976562, 803.4432373046875, 827.2161254882812, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(814.7252807617188, 808.2783813476562, 803.8461303710938, 828.4249267578125, 0.0, 0.0)"
2025-01-16 10:22:27.401,/8001/eeg,"(815.1282348632812, 799.4139404296875, 793.7728881835938, 820.3662719726562, 0.0, 0.0)"
2025-01-16 10:22:27.402,/8001/eeg,"(829.2307739257812, 798.2051391601562, 809.084228515625, 834.4688720703125, 0.0, 0.0)"
2025-01-16 10:22:27.463,/8001/eeg,"(815.1282348632812, 792.967041015625, 790.1465454101562, 815.93408203125, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(777.6557006835938, 779.2673950195312, 760.3296508789062, 779.6703491210938, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(786.1171875, 785.7142944335938, 790.1465454101562, 784.908447265625, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(802.2344360351562, 797.3992919921875, 813.5164794921875, 802.2344360351562, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(789.7435913085938, 801.4285888671875, 808.2783813476562, 796.996337890625, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(782.4908447265625, 799.010986328125, 787.7289428710938, 782.4908447265625, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(789.3406372070312, 799.010986328125, 778.4615478515625, 785.7142944335938, 0.0, 0.0)"
2025-01-16 10:22:27.464,/8001/eeg,"(799.010986328125, 785.7142944335938, 802.6373901367188, 799.8168334960938, 0.0, 0.0)"
2025-01-16 10:22:27.465,/8001/eeg,"(799.4139404296875, 768.7911987304688, 823.1868286132812, 805.054931640625, 0.0, 0.0)"
2025-01-16 10:22:27.465,/8001/eeg,"(799.010986328125, 779.2673950195312, 810.2930297851562, 799.4139404296875, 0.0, 0.0)"
2025-01-16 10:22:27.465,/8001/eeg,"(797.8021850585938, 794.1758422851562, 778.05859375, 789.7435913085938, 0.0, 0.0)"
2025-01-16 10:22:27.465,/8001/eeg,"(802.2344360351562, 796.1904907226562, 789.7435913085938, 792.5640869140625, 0.0, 0.0)"
2025-01-16 10:22:27.504,/8001/eeg,"(791.3552856445312, 793.7728881835938, 803.8461303710938, 792.5640869140625, 0.0, 0.0)"
2025-01-16 10:22:27.504,/8001/eeg,"(778.4615478515625, 796.996337890625, 774.029296875, 783.6996459960938, 0.0, 0.0)"
2025-01-16 10:22:27.504,/8001/eeg,"(781.6849975585938, 801.4285888671875, 787.7289428710938, 792.5640869140625, 0.0, 0.0)"
