,delta,theta,alpha,beta,gamma,spectral_entropy,median_frequency,mean_frequency
0,0.6931023522389314,0.16354203359261554,0.04088388965332224,0.060044535480891545,0.02656294108581844,4.685725533256096,10.463169642857142,13.609145119064115
1,0.23824381639996434,0.16886469645765623,0.1360803486238707,0.3125144545167648,0.14114070645428042,4.965490506652861,11.614929401993356,14.85098256373436
2,0.2538860207098665,0.1527259103336359,0.11847107969289013,0.30626247015943875,0.14026044020119954,4.95093905157859,12.026967400332225,15.036592926620633
3,0.5860937888098019,0.10751092005498039,0.08242642891012736,0.13688572908635296,0.08092144609609378,4.937280504073776,13.058684593023257,16.189883678596388
