,delta,theta,alpha,beta,mean,std
0,0.43562817385206626,0.10662434123168439,0.08586498793643768,0.16544971359842253,3.1584521182669827e-18,0.5039589441988815
1,0.3793817375384902,0.09473888837668686,0.0955854054367861,0.19145220217310346,-4.479466870532216e-18,0.34886403178278497
2,0.38138833626479834,0.09494418488684826,0.09479496734675169,0.1888618859601222,1.7176044943059834e-18,0.34875653278988955
3,0.40806481991723204,0.10337223571576551,0.04651906679533663,0.11419977995705886,4.582180760557158e-18,0.7081963533008285
